CW,Channel Value,Control Word (DS402)
FEW,Element Value,Following Error Window (DS402)
FET,Element Value,Following Error Time Out (DS402)
INT,Element Value,Interpolation Time Period (DS402)
MSL,Element Value,Max Motor Speed (DS402)
PAC,Channel Value,Profile Acceleration (DS402)
PDC,Channel Value,Profile Deceleration (DS402)
PLT,Element Value,Software Position Limit (DS402)
POS,Channel Value,Target Position (DS402)
PSP,Channel Value,Profile Velocity (DS402)
ROM,Channel Value,Modes of Operation (DS402)
SPE,Channel Value,Target Velocity (DS402)
SAC,Element Value,Velocity Acceleration (DS402)
SDC,Element Value,Velocity Deceleration (DS402)
SPC,Channel Value,Target Profile Velocity (DS402)
SPL,Element Value,Velocity Min/Max Amount (DS402)
TC,Channel Value,Target Torque (DS402)
TSL,Channel Value,Torque Slope (DS402)