A,Channel,Read Motor Amps
AI,InputNbr,Read Analog Inputs
AIC,InputNbr,Read Analog Input after Conversion
ANG,Channel,Read Rotor Angle
ASI,Channel,Read Raw Sin/Cos sensor
B,VarNbr,Read User Boolean Variable
BA,Channel,Read Battery Amps
BCR,Channel,Read Brushless Count Relative
BS,Channel,Read BL Motor Speed in RPM
BSC,SensorNumber,Read Battery State of Charge in percentage
BSR,Channel,Read BL Motor Speed as 1/1000 of Max RPM
BMC,SensorNumber,Read Battery State Of Charge in AmpHours
BMF,SensorNumber,Read BMS Status Flags
BMS,SensorNumber,Read BMS Switch States
C,Channel,Read Encoder Counter Absolute
CAN,Element,Read Raw CAN frame
CB,Channel,Read Absolute Brushless Counter
CD,None,Read Raw Redirect Received Frames Count
CF,None,Read Raw CAN Received Frames Count
CHS,Channel,CAN Consumer Heartbeat Status
CIA,Channel,Read Converted Analog Command
CIP,Channel,Read Internal Pulse Command
CIS,Channel,Read Internal Serial Command
CL,Group,Read RoboCAN Alive Nodes Map
CR,Channel,Read Encoder Count Relative
CSR,Channel,Read Relative SSI Sensor Counter
CSS,Channel,Read Absolute SSI Sensor Counter
D,None,Read Digital Inputs
DI,InputNbr,Read Individual Digital Inputs
DDT,Element,Read Raw Redirect Received Frame
DO,None,Read Digital Output Status
DPA,Channel,Read Motor DC/Peak Amps
DR,Channel,Read Destination Reached
E,Channel,Read Closed Loop Error
F,Channel,Read Feedback
FC,Channel,Read FOC Angle Adjust
FLW,SensorNumber,Read Flow Sensor Counter
FF,None,Read Fault Flags
FID,None,Read Firmware ID
FIN,None,Read Firmware ID (numerical)
FM,Channel,Read Runtime Status Flag
FS,None,Read Status Flags
HS,Channel,Read Hall Sensor States
ICL,NodeId,Is RoboCAN Node Alive
K,Channel,Read Spektrum Receiver
LK,None,Read Lock status
M,Channel,Read Motor Command Applied
MA,AmpsChannel,Read Field Oriented Control Motor Amps
MGD,SensorNumber,Read Magsensor Track Detect
MGM,SensorNumber,Read Magsensor Markers
MGS,SensorNumber,Read Magsensor Status
MGT,Channel,Read Magsensor Track Position
MGY,Channel,Read Magsensor Gyroscope
MGX,SensorNumber,Read MagSensor Tape Cross Detection
P,Channel,Read Motor Power Output Applied
PHA,CurrentSensorNumber,Read Phase Amps
PI,InputNbr,Read Pulse Inputs
PIC,InputNbr,Read Pulse Input after Conversion
S,Channel,Read Encoder Motor Speed in RPM
SCC,None,Read Script Checksum
SEC,Channel,Read Sensor Errors
SDT,Element,Read Raw Redirect Received Frame as string
SNA,Channel,Read Sensor Angle
SR,Channel,Read Encoder Speed Relative
SS,Channel,Read SSI Sensor Motor Speed in RPM
SSR,Channel,Read SSI Sensor Speed Relative
STT,Fault,Indication STO Self-Test Result
T,SensorNbr,Read Temperature
TM,Element,Read Time
TR,Channel,Read Position Relative Tracking
TRN,None,Read Control Unit type and Controller Model
UID,Element,Read MCU Id
V,SensorNumber,Read Volts
VAR,VarNumber,Read User Integer Variable